OpenTimeStamp,Open,High,Close,Volume,CloseTimeStamp,rsi,stoch_rsi_smooth,wma,sma
1672444859999,222297.034012,259,114.7403,137710.767494,0,,,,
1672444919999,364571.110434,383,184.3836,221170.608144,0,100.0,,,
1672444979999,233578.94784,327,146.4581,175686.550743,0,64.74302957734957,0.0,,
1672445039999,121468.680658,211,14.7327,17671.690559,0,29.10363059363746,0.0,,
1672445099999,69722.83143,227,41.7892,50112.283926,0,36.30544241107682,3.3860745751121804,,100.42078000000001
1672445159999,93422.352881,268,50.693,60788.566977,0,38.365803283870015,7.740868653561999,,87.61132
1672445219999,188036.035384,329,80.4394,96426.052927,0,44.37691823204456,22.02589035607657,,66.82248
1672445279999,185782.800641,214,126.1125,151154.570342,0,51.62147749761887,51.97314911429772,,62.75336
1672445339999,67506.228453,220,21.6874,26000.217093,0,39.77663326515038,55.172944794141245,,64.1443
1672445399999,78508.646554,257,24.2416,29055.226558,0,40.11274473493362,45.28086310834211,,60.63478
1672445459999,66317.126609,212,10.5803,12678.499463,0,38.95005586502094,11.947529775008773,,52.61224
1672445519999,321311.523529,245,239.5232,287011.436563,0,58.90978675701439,37.726273350048764,,84.429
1672445579999,176274.336636,344,44.345,53113.88336,0,46.06921524348426,45.222537346130686,,68.0755
1672445639999,29996.237753,150,13.4343,16092.075546,0,44.53195910298782,54.54447872261485,,66.42488
1672445699999,35561.060535,189,19.7626,23669.272842,0,44.908315836164526,31.16161349827065,,65.52908
1672445759999,665677.697214,479,163.1009,195260.537318,0,48.94260031874966,29.49797188589295,,96.0332
1672445819999,260561.228075,299,136.136,162982.882819,0,49.481514685770904,53.50936384274214,,75.35576
1672445879999,183330.560833,286,37.2615,44609.198674,0,51.17025651020375,76.89222906708633,,73.93906000000001
1672445939999,44039.893208,260,17.8435,21364.696258,0,48.7461930045008,87.09631389646431,,74.82090000000001
1672445999999,50107.606367,177,39.5573,47366.297349,0,49.424648225635735,63.09242840334874,,78.77984000000001
1672446059999,106804.692249,311,45.6086,54623.163851,0,48.15521592111137,29.75909507001541,,55.28138
1672446119999,280009.350038,292,218.2797,261491.177381,0,54.30272617285412,42.66278117355111,,71.71012
1672446179999,69946.727803,216,43.9718,52694.841868,0,50.97660177082367,48.63159086185863,,73.05217999999999
1672446239999,13484.654488,170,6.6988,8029.449632,0,49.253900575536164,54.58893299134555,,70.82324
1672446299999,75374.527711,228,59.7969,71674.956216,0,52.02525613729567,42.23992262077689,,74.87116
1672446359999,160485.770324,257,8.62,10331.836872,0,38.87004304423481,26.941665092251593,,67.47344000000001
1672446419999,86486.347788,269,40.9591,49069.87643,0,49.806401827675614,48.69541287081423,,32.00932
1672446479999,57935.5783,206,42.5744,51011.989997,0,51.723918428293466,60.28087876445064,,31.729840000000003
1672446539999,507411.977067,346,379.2933,454552.89552,0,65.29187636440165,93.61421209778398,,106.24874
1672446599999,44737.338024,180,1.8519,2219.249953,0,44.280588242221086,72.72897353828132,,94.65974
1672446659999,353327.840212,445,195.5113,234312.983294,0,51.88330549385746,52.220506525368386,,132.038
1672446719999,107624.883275,216,23.3123,27946.532214,0,49.57721579512964,27.29000174480898,,128.50863999999999
1672446779999,210553.116258,274,49.6957,59563.007174,0,50.961344487901655,31.062828286026214,,129.9329
1672446839999,13219.054744,158,6.4498,7730.859276,0,49.013589537765505,39.75286475689911,,55.364200000000004
1672446899999,118761.013602,175,67.9823,81485.838214,0,50.64527287587044,50.302937967115874,,68.59028
1672446959999,33400.136356,213,2.7476,3293.240616,0,43.3732406729571,39.70426007735174,,30.03754
1672447019999,26669.305527,207,16.2946,19530.105042,0,49.05568513903372,43.914976631133676,,28.634000000000004
1672447079999,51737.015682,164,12.9667,15544.30225,0,50.2189247160098,56.34112569389962,,21.288199999999996
1672447139999,42744.989399,225,2.3699,2840.547711,0,47.93282046268364,77.24119719385743,,20.47222
1672447199999,30576.49909,200,15.014,17995.193085,0,50.23672969733697,85.61245565904778,,9.878559999999998
1672447259999,72968.475242,241,18.495,22163.649265,0,49.15013483755972,71.84570709714676,,13.028039999999999
1672447319999,39933.637055,209,3.2443,3887.580019,0,48.527252352664384,59.545972813022466,,10.41798
1672447379999,49789.380759,269,36.3706,43580.328173,0,33.38021524516412,26.212639479689134,,15.098760000000002
1672447439999,30119.687864,178,3.1354,3757.155886,0,50.09335035628779,41.6501415086961,,15.251860000000002
1672447499999,69602.483144,254,43.909,52617.740581,0,35.82037872482992,37.91656221199114,,21.03086
1672447559999,47505.651594,221,10.2066,12231.472198,0,48.34558039191429,67.76407445759361,,19.373179999999998
1672447619999,20176.9255,156,2.7508,3296.47111,0,43.776426546298474,55.44888245622345,,19.27448
1672447679999,32057.485413,165,8.9055,10671.252626,0,50.36106576816569,83.91545787042823,,13.78146
1672447739999,11550.410219,185,5.1419,6160.921742,0,38.869681161966724,61.058221549773315,,14.182759999999998
