1588035720000,7739.45000000,7742.58000000,7736.87000000,7737.93000000,12.13990600,1588035779999,93959.67046683,192,5.54838900,42943.62649759,0
1588035780000,7737.76000000,7738.74000000,7733.41000000,7734.25000000,26.51889800,1588035839999,205152.56771415,334,7.26997600,56243.28756983,0
1588035840000,7734.21000000,7735.59000000,7728.02000000,7728.85000000,16.83288900,1588035899999,130160.53523571,249,7.40144100,57237.03507080,0
1588035900000,7728.45000000,7732.80000000,7728.00000000,7732.79000000,15.75587400,1588035959999,121793.54672788,239,4.52701900,34992.87779581,0
1588035960000,7732.79000000,7736.26000000,7730.76000000,7733.98000000,28.74931800,1588036019999,222331.69976432,225,16.48315000,127465.54867606,0
1588036020000,7733.77000000,7734.93000000,7732.00000000,7732.60000000,6.92645200,1588036079999,53568.45425439,189,3.32748500,25734.13609491,0
1588036080000,7731.80000000,7733.11000000,7721.01000000,7722.86000000,35.08468300,1588036139999,271087.44122538,453,6.92812900,53524.59594423,0
1588036140000,7724.16000000,7726.98000000,7705.00000000,7714.00000000,140.71544100,1588036199999,1085417.96538513,1178,44.38383800,342319.54749627,0
1588036200000,7714.00000000,7723.00000000,7710.39000000,7721.69000000,45.08729000,1588036259999,347923.13802408,492,27.11164600,209230.06259412,0
1588036260000,7721.32000000,7721.71000000,7716.07000000,7719.24000000,20.16178900,1588036319999,155625.08302051,243,8.18365900,63171.06676890,0
1588036320000,7719.27000000,7721.88000000,7718.72000000,7721.85000000,36.33345300,1588036379999,280508.66457432,376,9.79157800,75596.69741270,0
1588036380000,7721.85000000,7722.38000000,7717.57000000,7719.99000000,26.42688500,1588036439999,204024.01552700,356,8.46719100,65365.46978700,0
1588036440000,7719.99000000,7720.95000000,7711.02000000,7711.80000000,33.29095800,1588036499999,256866.39021918,323,6.39367200,49337.12161486,0
1588036500000,7711.79000000,7714.19000000,7698.93000000,7708.09000000,201.71341200,1588036559999,1553915.82882584,1296,46.54959600,358660.06470839,0
1588036560000,7707.92000000,7708.56000000,7701.06000000,7706.28000000,49.99123400,1588036619999,385211.94634598,449,25.84899100,199193.68521780,0
1588036620000,7707.04000000,7707.62000000,7698.26000000,7703.04000000,58.14792300,1588036679999,447907.04483189,598,24.27806800,186996.95695223,0
1588036680000,7703.10000000,7710.95000000,7700.27000000,7708.11000000,46.70727700,1588036739999,359965.65170408,593,23.80938600,183482.15343908,0
1588036740000,7708.11000000,7709.90000000,7707.00000000,7708.00000000,20.24774000,1588036799999,156064.72043018,233,15.27204500,117712.55855883,0
1588036800000,7708.00000000,7709.31000000,7698.63000000,7699.83000000,42.12159500,1588036859999,324492.00632857,492,15.91690300,122639.13612591,0
1588036860000,7699.83000000,7701.99000000,7691.07000000,7694.97000000,85.95382800,1588036919999,661483.62134783,865,30.77198200,236829.45297210,0
