OpenTimeStamp,Open,High,Close,Volume,CloseTimeStamp,rsi,stoch_rsi_smooth,wma,sma
1660780859999,3859689.6340822,4867,100.69081,2350267.8984299,0,,,,
1660780919999,2974790.7379107,4611,50.81234,1185360.2662768,0,0.0,,,
1660780979999,2430478.1101138,4121,45.03638,1051094.8300948,0,0.0,,,
1660781039999,2976749.6925585,4827,76.44792,1784433.0805303,0,36.077861419335235,100.0,,
1660781099999,4960985.7452145,5246,146.0379,3411036.7923818,0,64.47346557854968,100.0,,83.80507
1660781159999,4210155.5667238,6234,98.12775,2293929.3465249,0,49.37353745317528,92.19320796554268,,83.292458
1660781219999,2087425.4140579,3557,49.35759,1154173.3954516,0,39.868560465840936,79.47226150489784,,83.001508
1660781279999,2396757.2260415,3838,59.60265,1394185.0470599,0,42.20579060761969,53.33244675742859,,85.914762
1660781339999,8816917.9653172,8646,191.13329,4474471.619925,0,61.44517113579654,57.03667681778455,,108.851836
1660781399999,3534634.3812892,4640,67.67032,1584662.2786777,0,46.81622769538821,47.157621106048595,,93.17832
1660781459999,1343323.3989108,2775,32.76827,767164.1763329,0,43.86401400108818,46.13660971074575,,80.10642399999999
1660781519999,2136988.017102,3362,51.77502,1211599.8524647,0,45.727757188837494,23.007848022181616,,80.58991
1660781579999,1541046.9547429,2867,33.06476,774050.9341469,0,44.28055332565204,13.064262612645967,,75.282332
1660781639999,1782490.2644789,3436,37.47238,876911.8821484,0,44.692892955746046,16.250596396889733,,44.55015
1660781699999,1762333.3631979,3622,44.40357,1038716.290563,0,45.32911403329412,36.352125959099745,,39.8968
1660781759999,2548566.4323244,3565,67.46368,1579100.9429523,0,51.44614576629345,68.89571354101618,,46.835882
1660781819999,2013218.8464329,3781,49.32567,1155120.6125598,0,50.3646881037533,87.83941618467323,,46.346011999999995
1660781879999,3582640.6241612,5263,90.80211,2127972.8773652,0,51.19989940839907,93.75376460878844,,57.89348199999999
1660781939999,2019405.0736676,3772,35.53385,832339.3458785,0,40.536114516319735,60.42043127545511,,57.50577599999999
1660781999999,2477190.3734038,5131,62.06853,1452224.3148284,0,46.79441800626622,51.2388334684042,,61.03876799999999
1660782059999,1367100.813281,3589,28.98613,678068.6975877,0,48.13706263798191,42.880327677499736,,53.343258000000006
1660782119999,2143614.7438002,4689,43.67011,1021171.1895112,0,48.554728399745606,67.94526776702274,,52.212146000000004
1660782179999,1177699.503108,2949,24.15288,564802.3659678,0,30.989609204112327,48.824321955611595,,38.8823
1660782239999,2169119.6255584,3738,57.17707,1336783.8573156,0,48.49556193458928,58.28599319957717,,43.210944
1660782299999,2805404.9644832,4660,42.81303,1000203.5825483,0,51.530256258006425,66.5543864433875,,39.359843999999995
1660782359999,5298042.5207661,9029,83.96338,1958859.7602829,0,54.593759658233125,99.88771977672083,,50.355294
1660782419999,5123569.7273203,6758,90.69764,2113805.2888614,0,58.51618197635057,100.0,,59.760799999999996
1660782479999,4400217.4368867,6058,99.53728,2319063.85827,0,59.05251379516937,100.0,,74.83768
1660782539999,4017465.9053669,6152,76.27358,1778449.5437034,0,54.43702323420662,79.54740520311272,,78.656982
1660782599999,1793825.6336078,3695,36.79304,858354.6569433,0,45.916654302832605,46.21407186977939,,77.45298399999999
1660782659999,2662475.280798,4256,62.00857,1447007.693118,0,51.657309452208324,27.44812727545401,,73.062022
1660782719999,4879934.1449396,8027,112.77513,2635837.6831787,0,52.80321487744502,32.042607569390846,,77.47752
1660782779999,4446797.1412709,7123,100.50049,2351158.0932438,0,59.30936234118455,65.37594090272418,,77.670162
1660782839999,2366852.8082357,4549,47.34301,1107720.0029159,0,48.039496473667974,56.09212927835778,,71.88404799999999
1660782899999,4939038.4012658,6132,114.3398,2675987.6949511,0,60.42248431401133,71.95024378130822,,87.3934
1660782959999,3761973.146923,5157,97.18372,2274865.7676695,0,56.495299824831726,61.37879274484411,,94.42843
1660783019999,3817296.1427084,5626,79.43888,1859527.1086551,0,56.7394230821742,79.51424481410211,,87.76118
1660783079999,3703115.686799,6111,91.59956,2145425.990015,0,54.421016748482096,63.35910346774451,,85.980994
1660783139999,2325879.5494286,4080,54.34454,1272734.3089032,0,51.39878928018025,40.597221170875265,,87.3813
1660783199999,1604920.9495543,3390,35.5635,832702.4520377,0,43.79213024861297,17.178191986975726,,71.62603999999999
1660783259999,1305878.2700226,3223,28.85236,675668.4428069,0,42.06712466131668,0.0,,57.959768
1660783319999,4534055.8687681,5278,60.39826,1414944.9634401,0,45.255990679885194,8.604214218668403,,54.151644
1660783379999,1642332.6863022,3856,32.53101,761770.4483256,0,44.75651458791228,18.210895828860814,,42.337934
1660783439999,1677624.636449,3295,38.15283,893293.5375856,0,50.17740027084333,51.54422916219414,,39.099591999999994
1660783499999,8578105.5302296,9560,209.1014,4903069.4527708,0,63.90323436753675,76.27334827685907,,73.80717200000001
1660783559999,5013313.2039727,6854,129.31373,3032754.9282206,0,51.48192971538877,78.37522598280522,,93.89944599999998
1660783619999,4291741.391326,5937,102.93776,2414331.1513842,0,50.213007020936956,54.5413308401524,,102.407346
1660783679999,2816837.3819529,4580,66.74879,1565012.0001678,0,51.74782209674957,25.02178352726102,,109.250902
1660783739999,1639547.0511692,2955,38.55257,903972.7780704,0,42.661128493782506,13.31322421112246,,109.33085000000001
1660783799999,1860093.9688719,3749,38.87584,911516.723679,0,44.16347305979022,9.324938304030029,,75.285738
1660783859999,2284268.104229,4310,49.99868,1171718.9824048,0,47.01349008724851,21.477214981556443,,59.42272799999999
1660783919999,2759703.9915156,4986,54.40065,1274589.4011125,0,46.166069899334744,34.33462883195036,,49.715306
1660783979999,2585388.419202,3265,77.00339,1803991.5052143,0,52.40808036348428,62.15680988169561,,51.766226
1660784039999,1262981.5234913,2767,29.78168,698054.5835518,0,49.420561824390326,67.44540319079029,,50.012048
1660784099999,1151839.0093311,2672,25.53497,598476.0206393,0,49.665889894082525,73.27758737321345,,47.343874
1660784159999,1095996.4107258,2470,22.97589,538413.5185891,0,45.99730602170058,39.94425403988011,,41.939316
