OpenTimeStamp,Open,High,Low,Close,Volume,CloseTimeStamp,rsi,stoch_rsi_smooth,wma,sma
20.87415,1688256059999,638478.9036997,751,12.87607,393836.7032911,0,,,,
4.83053,1688256119999,147746.8426899,310,3.79025,115928.7367573,0,0.0,,,
7.89502,1688256179999,241478.1937236,236,0.67008,20495.167392,0,0.0,,,
22.23372,1688256239999,679956.3187301,562,7.39175,226032.6854793,0,35.51241939045819,100.0,,
6.72613,1688256299999,205718.87833,395,0.67353,20599.9620802,0,26.2095510078032,86.90195072268918,,5.080336
4.95051,1688256359999,151386.9349242,492,0.24453,7477.6108158,0,25.778335317362917,82.13117853556203,,2.5540279999999997
14.76778,1688256419999,451589.5280647,549,8.22953,251655.3636216,0,43.178866161595394,82.13117853556203,,3.4418840000000004
9.39853,1688256479999,287371.2517092,357,1.94472,59459.3777047,0,36.45255422708663,77.97794944744889,,3.696812
9.06338,1688256539999,277128.2668445,310,1.55985,47695.0810935,0,36.10809937549043,73.56962105711303,,2.530432
2.37122,1688256599999,72504.0990667,169,1.64927,50429.2505017,0,36.24806401335849,60.29262736406491,,2.72558
6.59539,1688256659999,201654.0023395,403,0.54951,16801.6753138,0,35.297077154513715,39.84455597038527,,2.786576
5.62776,1688256719999,172008.7740421,567,1.69948,51938.1012633,0,37.02469844116529,53.389672973618566,,1.480566
5.72658,1688256779999,175011.312457,271,0.55887,17079.8574141,0,36.06945322841428,48.23582922693208,,1.2033960000000001
3.4821,1688256839999,106413.0481346,299,0.24926,7617.3930778,0,35.8186057032368,58.29838465603876,,0.941278
19.47758,1688256899999,595153.5424445,701,4.67078,142710.6526244,0,41.617067272573095,58.29838465603876,,1.54558
19.61502,1688256959999,599554.9726356,451,12.93239,395263.2004626,0,59.500056529770404,76.72922209577335,,4.022156
9.07815,1688257019999,277462.6710409,519,1.13836,34788.2879127,0,50.41229017029377,87.20831981389931,,3.909932
16.10178,1688257079999,492033.5360728,641,6.16757,188466.8214313,0,48.889081274624466,72.27261432176648,,5.031672
48.60369,1688257139999,1485408.3378414,1660,27.24896,832786.4365402,0,69.12980139448418,72.27261432176648,,10.431612
5.75562,1688257199999,175951.6601191,383,3.83918,117359.5457553,0,51.944281789181694,56.76240356140746,,10.265291999999999
3.42374,1688257259999,104678.6157681,304,0.49652,15180.8016996,0,45.59619814520056,38.36477572020694,,7.778118000000001
18.78199,1688257319999,573998.0534008,650,8.40043,256700.1974659,0,53.6098351177359,16.382072784960908,,9.230532
28.80435,1688257379999,880272.9677534,704,5.99087,183075.1570709,0,52.42283064954971,21.01997063473658,,9.195192
