OpenTimeStamp,Open,High,Low,Close,Volume,CloseTimeStamp,rsi,stoch_rsi_smooth,wma,sma
214286604.0,1690000000000.0,1628.57819,16,214286604,1628.57819,0,49.14833004439771,64.14784507125971,,1890804573.4
2423994286.0,1690000000000.0,18398.20204,42,1931865069,14662.94128,0,52.70186264266426,52.270702798754485,,2275973832.2
2325329507.0,1690000000000.0,17672.65428,46,1120666718,8517.262425,0,47.01490246021196,19.23994833046001,,2306098694.8
370614371.0,1690000000000.0,2816.124968,8,316189186,2403.037814,0,48.606416215407556,21.572773126475102,,1776467161.4
4256565502.0,1690000000000.0,32337.41161,63,1206974210,9173.003996,0,49.03506483471061,17.44065052132285,,957996357.4
1647132499.0,1690000000000.0,12497.32441,53,1188369871,9019.75881,0,48.842870504628415,28.155033283352385,,1152813010.8
5931806275.0,1690000000000.0,44980.16777,161,3292283753,24958.13697,0,55.926763035529454,55.88861943497167,,1424896747.6
3199686135.0,1690000000000.0,24253.11928,118,70715649,536.2747013,0,48.7335472897818,44.62660977120524,,1214906533.8
923489648.0,1690000000000.0,6995.800354,88,498371909,3777.65907,0,41.728082385253735,33.9122270091757,,1251343078.4
3834271189.0,1690000000000.0,29022.61508,167,1437754104,10884.87229,0,53.27908401558831,27.69644052131933,,1297499057.2
815567458.0,1690000000000.0,6167.265779,45,157579630,1192.877799,0,50.33540527679514,47.32440761784097,,1091341009.0
1381278145.0,1690000000000.0,10451.29835,61,822826958,6229.145888,0,49.66984521463316,70.24237058918834,,597449650.0
2194916297.0,1690000000000.0,16614.64301,28,1213846419,9189.006208,0,45.77002737861557,54.78887713843204,,826075804.0
5031814047.0,1690000000000.0,38147.15619,96,3483972780,26414.82433,0,45.5995166703485,34.58201636606804,,1423195978.2
2721476865.0,1690000000000.0,20654.66435,57,1099402065,8344.517398,0,52.468761925233544,44.997386728054,,1355525570.4
6238907656.0,1690000000000.0,47409.97493,141,3090326142,23486.47868,0,53.18264690186246,66.66666666666667,,1942074872.8
2434388104.0,1690000000000.0,18502.95125,45,2189674548,16643.74322,0,52.92252694590104,98.85658495449802,,2215444390.8
2289401186.0,1690000000000.0,17399.91145,33,273445394,2078.926187,0,49.889840431061195,84.3823226983608,,2027364185.8
3300787935.0,1690000000000.0,25052.84867,40,1632024744,12387.06781,0,51.06965141539444,62.9923067630701,,1656974578.6
6285296359.0,1690000000000.0,47736.90764,86,3954678296,30038.57619,0,56.23809653491326,64.13572180857209,,2228029824.8
2109774570.0,1690000000000.0,16013.12311,57,88448570,671.3246463,0,43.307220535304744,45.27665073137596,,1627654310.4
4339992079.0,1690000000000.0,32940.56362,48,2961709422,22479.39825,0,56.128439222150135,66.38399101817375,,1782061285.2
25131189312.0,1690000000000.0,191709.8053,457,16964598628,129402.5511,0,72.15469319584568,66.38399101817375,,5120291932.0
13912697855.0,1690000000000.0,105924.3904,209,7317154407,55710.80736,0,56.40876421833394,81.52286047501201,,6257317864.6
4361272091.0,1690000000000.0,33224.01664,42,4133926165,31491.64069,0,54.161704366231945,61.01458845962693,,6293167438.4
24040758145.0,1690000000000.0,184102.6999,631,13054713497,99897.80203,0,60.915753635791276,40.193627461091005,,8886420423.8
36859427380.0,1690000000000.0,283626.1271,891,25708103959,197813.0941,0,67.93374686970179,50.56847825363335,,13435699331.2
50207747501.0,1690000000000.0,387134.8795,1109,25762122537,198855.8855,0,66.85826557024022,68.75637145847327,,15195204113.0
24506409444.0,1690000000000.0,189087.6935,531,10084470387,77762.2438,0,55.660389127060945,59.871359312385245,,15748667309.0
27374695347.0,1690000000000.0,210646.0659,557,15259859553,117425.4106,0,57.37079290397018,39.002941548748055,,17973853986.6
48499762293.0,1690000000000.0,373801.8225,814,24541626970,189192.3691,0,62.29027127043845,26.27882497167965,,20271236681.2
40747116249.0,1690000000000.0,313974.3954,618,28557484984,220108.1626,0,65.2010547404686,51.05168769374357,,20841112886.2
25283167855.0,1690000000000.0,194763.439,542,11680811466,89964.90775,0,54.62859129775719,46.40638520800016,,18024850672.0
46097102738.0,1690000000000.0,355973.0503,716,28982899532,223842.9907,0,60.13036674531071,45.74646543146796,,21804536501.0
44866009151.0,1690000000000.0,347363.8196,895,29827693270,230907.785,0,62.338989301815296,41.65592854558417,,24718103244.4
25022311766.0,1690000000000.0,193255.341,454,14323301580,110640.4367,0,54.266771980728386,41.65592854558417,,22674438166.4
55014977011.0,1690000000000.0,422337.7748,1124,24992299279,191874.8496,0,53.092180233559915,24.309686024889505,,21961401025.4
22952408324.0,1690000000000.0,175571.7617,345,9121494655,69775.23175,0,50.663214864756156,0.0,,21449537663.2
13726146696.0,1690000000000.0,105162.9313,227,6559409517,50268.60296,0,50.8956157895072,0.6634846821906025,,16964839660.2
12362124581.0,1690000000000.0,94539.20714,200,5479537847,41889.87359,0,47.030921312813646,0.6634846821906025,,12095208575.6
14955148442.0,1690000000000.0,114441.0564,239,7527938827,57579.94868,0,42.22822713467506,0.6634846821906025,,10736136025.0
10007205561.0,1690000000000.0,76611.91983,157,5366761286,41085.03776,0,41.43555489470208,0.0,,6811028426.4
13133259740.0,1690000000000.0,100733.5008,218,9349930294,71700.95475,0,49.657957210878095,28.9723375201924,,6856715554.2
11071920079.0,1690000000000.0,85036.99403,154,5099870958,39180.74585,0,45.22781804514887,44.34604058418315,,6564807842.4
