Open Time,Open,High,Low,Close,Volume,Close Time,rsi,stoch_rsi_smooth,wma,sma
1680000000000.0,8.7e-06,8.71e-06,8.7e-06,8.71e-06,74982564,1680000000000.0,50.0,18.055555555555532,,8.706e-06
1680000000000.0,8.7e-06,8.7e-06,8.69e-06,8.69e-06,1116040577,1680000000000.0,38.46153846153846,18.055555555555532,,8.701999999999999e-06
1680000000000.0,8.69e-06,8.7e-06,8.67e-06,8.68e-06,3069079925,1680000000000.0,35.71428571428572,18.055555555555532,,8.696e-06
1680000000000.0,8.67e-06,8.68e-06,8.65e-06,8.68e-06,17494378195,1680000000000.0,30.769230769230774,0.0,,8.692e-06
1680000000000.0,8.67e-06,8.69e-06,8.67e-06,8.68e-06,4263761040,1680000000000.0,33.33333333333333,4.444444444444435,,8.687999999999999e-06
1680000000000.0,8.68e-06,8.69e-06,8.67e-06,8.69e-06,907083491,1680000000000.0,41.66666666666667,37.777777777777764,,8.684e-06
1680000000000.0,8.68e-06,8.68e-06,8.66e-06,8.68e-06,1987362575,1680000000000.0,27.272727272727266,37.777777777777764,,8.682e-06
1680000000000.0,8.68e-06,8.68e-06,8.67e-06,8.67e-06,719218742,1680000000000.0,27.272727272727266,33.333333333333336,,8.680000000000002e-06
1680000000000.0,8.67e-06,8.69e-06,8.67e-06,8.68e-06,300438124,1680000000000.0,27.272727272727266,0.0,,8.68e-06
1680000000000.0,8.68e-06,8.69e-06,8.68e-06,8.69e-06,183584011,1680000000000.0,36.36363636363636,21.052631578947366,,8.682e-06
1680000000000.0,8.69e-06,8.69e-06,8.68e-06,8.68e-06,101912166,1680000000000.0,36.36363636363636,54.38596491228069,,8.68e-06
1680000000000.0,8.68e-06,8.69e-06,8.68e-06,8.69e-06,28907190,1680000000000.0,41.66666666666667,87.71929824561403,,8.682e-06
1680000000000.0,8.69e-06,8.69e-06,8.68e-06,8.68e-06,1086272861,1680000000000.0,41.66666666666667,100.0,,8.684e-06
1680000000000.0,8.68e-06,8.69e-06,8.68e-06,8.69e-06,424924039,1680000000000.0,46.15384615384615,100.0,,8.686e-06
1680000000000.0,8.69e-06,8.69e-06,8.68e-06,8.68e-06,1094972444,1680000000000.0,38.46153846153846,73.80952380952381,,8.684e-06
1680000000000.0,8.69e-06,8.69e-06,8.68e-06,8.68e-06,221736036,1680000000000.0,45.45454545454546,70.77922077922081,,8.684e-06
